Value,SKU,Service,Project/Account ID,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11
Actual,Flex Instance Core Hours,App Engine (GAE),monitor-base-us-prod,3416.4711216,3310.8699222,3417.0213690000005,3416.744466,3085.5578778000004,3411.8360702999994,3306.458824200001,3416.1425631,3306.0120011999998,3416.5984230000004,3416.3439588000006,3306.4169859,3416.2662456000003,
Actual,Message Delivery Basic,Cloud Pub/Sub,monitor-base-us-prod,1496.3997474000003,1851.1604207999999,3217.2052005000005,2054.7076193999997,1484.1663722999995,2021.8165326000003,2024.8561988999998,2317.2824115,2287.2592926,2439.9139122000006,2315.5140429,2398.8658500000006,3260.665375200001,
Actual,vCPU Time Streaming Iowa,Cloud Dataflow,monitor-base-us-prod,1848.070107,1790.9366184,1848.0766905000005,1848.0771279000003,1669.2247584000004,1845.5699277,910.6754255999999,424.1108655000001,374.6648286000001,275.11429770000007,288.7035444,413.7865658999999,382.17006540000006,
Actual,Flex Instance RAM,App Engine (GAE),monitor-base-us-prod,956.7869328000002,927.2127392999998,956.9419073999998,956.8641582000001,864.1124406000001,955.4857865999999,925.9779051,956.6930159999998,925.8513272999998,956.8241874000001,956.7514404,925.9673426999999,956.7276380999998,
Actual,Cloud SQL for PostgreSQL: Regional - vCPU in Americas,Cloud SQL,monitor-base-us-prod,1327.4150400000012,1286.37936,1327.4150399999999,1327.4150400000003,1198.95552,763.0763742,121.68178920000014,165.0586752,194.52714300000014,327.73178969999987,341.43879689999983,83.45638349999999,14.018732999999994,
Actual,Commitment - dollar based v1: Cloud Dataflow Streaming CUD for 3 years,Cloud Dataflow,monitor-base-us-prod,,,,,,,698.156946,1132.821467,1124.721169,1251.3506539999998,1240.5419610000004,1093.610563,1166.1840409999998,
Actual,Commitment - dollar based v1: Cloud SQL database us-central1 for 3 years,Cloud SQL,monitor-base-us-prod,,,,,,476.79116500000003,1014.428498,1013.9425729999999,950.884235,872.0401360000001,860.0831960000003,1047.7730960000004,1145.6968600000002,
Actual,Long Term Logical Storage,BigQuery,monitor-base-us-prod,394.1491878,409.6135458,424.4381127,440.14769279999996,459.9338949,609.6285306000002,646.8481818000001,664.0101377999999,682.3372293,641.2241853,404.27991900000006,382.5147186,398.00716470000003,
Actual,GCP Partner-led Premium Support Variable Fee,Support,monitor-base-us-prod,462.410293,469.6319659999999,545.936806,497.46867699999996,443.758492,491.0810390000001,480.99876200000006,504.06613699999997,494.11062400000003,509.14294900000004,497.19596499999994,489.975785,534.6531569999999,
Actual,Cloud SQL for PostgreSQL: Regional - RAM in Americas,Cloud SQL,monitor-base-us-prod,843.6959999999993,817.6139999999994,843.6959999999993,843.6959999999993,762.0479999999993,485.0061227999994,77.34017160000013,104.91022620000011,123.64004520000012,208.30408200000008,217.01615490000006,53.044302600000094,8.910172800000048,
Actual,Standard Storage US Regional,Cloud Storage (GCS),monitor-base-us-prod,342.09497879999986,342.0949887,342.094977,342.0949814999999,342.0949833,342.09498959999996,342.09498060000004,342.094977,342.0949779,342.09497789999995,342.0949796999999,342.09497430000005,342.09497339999996,
Actual,Network Data Transfer GCP Replication within Northern America,Cloud Storage (GCS),monitor-base-us-prod,216.91898909999998,267.1905600000001,471.39453359999993,293.95076399999994,207.70217910000005,269.8103448,272.5283052,319.9150845,322.1358228,342.1000224,327.10282739999997,341.89139159999996,466.84837259999983,
Actual,RAM Time Streaming Iowa,Cloud Dataflow,monitor-base-us-prod,357.2617311,346.21726770000004,357.26186700000005,357.26190030000004,322.6880646,356.78093850000005,176.04941309999998,81.98742600000001,72.4294224,53.184186,55.81114830000001,79.99133130000003,73.8796419,
Actual,Local Disk Time PD Standard Iowa,Cloud Dataflow,monitor-base-us-prod,198.86854140000003,192.72061170000003,198.86888070000003,198.8687817,179.62326180000005,198.60020640000005,192.4532523,198.8679951,192.4523307,198.8677539,198.8678196,192.45275909999998,198.8677404,
Actual,Standard Storage US Multi-region,Cloud Storage (GCS),monitor-base-us-prod,103.08894119999998,114.23181059999999,211.85659170000002,135.3849012,102.3477903,118.95347070000001,126.2024838,134.3758464,146.53933920000003,148.2159348,144.9983124,150.79442760000006,187.49762460000002,
Actual,Cloud SQL for PostgreSQL: Regional - Standard storage in Americas,Cloud SQL,monitor-base-us-prod,107.09981640000001,107.09964360000004,107.09980559999998,107.0998236,107.09978400000007,107.09965349999999,107.09949869999998,107.0998038,107.09948339999994,107.09979750000001,107.0998083,107.09947349999995,107.09979480000001,
Actual,Secret version replica storage,Secret Manager,monitor-base-us-prod,95.46949530000131,96.20739630000101,96.88426380000142,97.18819200000151,97.51648590000012,98.03763090000214,98.55588060000002,99.66326310000157,100.21937670000115,101.14049700000147,101.66723190000127,101.95079400000097,102.75094170000187,
Actual,Long-Term Physical Storage (US),BigQuery,monitor-base-us-prod,62.149997700000014,64.2241089,66.8422548,69.15500909999999,71.19065789999999,74.61958679999998,78.02814779999999,80.290458,82.10102040000001,83.8974114,101.3562522,112.2529176,114.7400469,
Actual,External IP Charge on a Flex Instance,App Engine (GAE),monitor-base-us-prod,71.05743449999997,68.86970640000001,71.07231149999998,71.07377849999999,64.18579229999999,70.97052599999999,68.7752865,71.0690049,68.78102399999999,71.05363559999999,71.05404870000001,68.77931670000001,71.03826719999999,
Actual,Streaming Insert,BigQuery,monitor-base-us-prod,36.412853399999996,56.28346019999999,86.65497629999999,58.2491034,47.677302000000005,69.82076069999998,78.065865,92.02129470000003,78.15005459999999,85.7981952,78.14901960000002,68.8126023,51.806000700000006,
Actual,Log Storage cost,Cloud Logging,monitor-base-us-prod,44.1554175,47.646158400000004,54.61994070000001,46.9608723,40.9870908,46.4815224,43.26772500000001,48.9251511,47.92158180000001,50.66317620000002,49.14799830000001,51.020509499999996,56.956464000000004,
Actual,Monitoring API Requests,Cloud Monitoring,monitor-base-us-prod,62.60192100000001,60.564663,65.43285300000001,64.762758,58.685075999999995,67.00687200000002,30.943196999999994,30.401477999999997,29.989466999999998,35.000811,36.517275000000005,35.770211999999994,36.674046000000004,
Actual,Dataplex Premium Processing (milli DCU-hr) Iowa,Dataplex,monitor-base-us-prod,48.8195991,47.240100000000005,50.571009,41.855850000000004,45.502649999999996,38.157299099999996,15.591150000000003,32.08140000000001,34.666653600000004,35.58915,28.177200000000003,34.8912,38.0430009,
Actual,Dataplex Premium Processing (milli DCU-hr) South Carolina,Dataplex,monitor-base-us-prod,28.765800000000002,28.082250000000002,30.304804499999996,35.7488991,25.8362991,38.916900000000005,31.176900000000003,44.0937,39.450150900000004,39.19185,46.978650900000005,41.57775540000001,43.759353600000004,
Actual,External IP Charge on a Standard VM,Compute Engine (GCE),monitor-base-us-prod,36.6786963,35.499647700000004,36.5986242,36.5956659,33.05431620000001,36.5706207,35.424261,36.59148810000001,35.44148250000001,36.63935640000001,36.527066999999995,35.476553700000004,36.603609300000016,
Actual,Vended Logs Storage,Cloud Logging,monitor-base-us-prod,19.4297733,24.976100700000003,31.154350500000003,24.1277355,19.359405,21.685956300000004,22.080092399999998,21.186214200000002,21.637305900000005,25.5898818,25.829015400000003,20.9211246,20.5341156,
Actual,Networking Telemetry,Networking,monitor-base-us-prod,19.428634800000005,24.976813499999995,29.36501730000001,24.1295724,19.3571433,21.685529700000007,22.079544300000002,21.183372000000002,21.6367929,25.58987820000001,25.829011800000004,20.921112,20.534174099999998,
Actual,Storage PD Capacity,Compute Engine (GCE),monitor-base-us-prod,19.083508200000004,19.052074800000003,19.032669,19.057990500000002,19.05699600000001,19.063076400000003,19.056789000000002,19.043492400000005,19.0595952,19.084742100000003,19.064400300000003,19.0666044,19.052001,
Actual,Cloud Load Balancer Forwarding Rule Minimum Global,Networking,monitor-base-us-prod,16.739568900000002,16.2220806,16.739586899999995,16.7395608,15.119630099999998,16.717123800000003,16.199627399999997,16.7396265,16.199643600000005,16.739660699999998,16.739690400000004,16.1996715,16.739704799999995,
Actual,Active Physical Storage (US),BigQuery,monitor-base-us-prod,13.7955969,13.8434193,15.620678999999999,17.885257199999998,18.194314499999997,14.864681699999998,11.645631900000001,10.6912359,10.8265905,11.837813400000002,13.3542972,14.430793500000004,14.585072400000001,
Actual,Small Instance with 1 VCPU running in Americas,Compute Engine (GCE),monitor-base-us-prod,12.0457611,11.6733843,12.0457755,12.045695399999998,10.880070300000003,12.0296241,11.6572293,12.045844799999998,11.657274299999997,12.045902400000003,12.045945600000001,11.6572923,12.045888900000001,
Actual,Network Internet Data Transfer Out from Americas to Americas,Compute Engine (GCE),monitor-base-us-prod,12.0759381,13.2515784,12.858222600000001,11.387484000000004,10.474124400000003,8.373794400000001,10.1905092,8.368965,7.2286028999999985,8.367880499999998,8.359694099999999,7.000887600000001,8.655077700000003,
Actual,Commitment - dollar based v1: GCE for 3 years,Compute Engine (GCE),monitor-base-us-prod,,,,,,2.5619129999999997,5.812459999999999,5.843407999999998,4.661167000000001,5.765631,6.2598910000000005,6.098387000000001,6.064926999999999,
Actual,E2 Instance Core running in Americas,Compute Engine (GCE),monitor-base-us-prod,7.3016388,7.0762212,7.301860200000003,7.3019843999999985,6.595239599999999,4.258227600000001,,,1.6985097000000007,,,,,
Actual,Services Min Instance Memory (Request-based billing),Cloud Run,monitor-base-us-prod,,,,,,,,4.354362,5.756852700000001,5.9403519000000005,5.946523200000002,5.7425372999999995,5.849091000000001,
Actual,Services Min Instance CPU (Request-based billing),Cloud Run,monitor-base-us-prod,,,,,,,,4.354362,5.745556800000001,5.932514700000002,5.9232204,5.7233862,5.8006251,
Actual,E2 Instance Ram running in Americas,Compute Engine (GCE),monitor-base-us-prod,3.91455,3.7936719,3.914636400000001,3.914670600000001,3.535839,2.2829067,,,,,,,,
Actual,Multi-Region Standard Class A Operations,Cloud Storage (GCS),monitor-base-us-prod,1.3024530000000003,1.3111200000000003,1.377558,1.3660740000000002,1.2424680000000001,1.3666319999999998,1.3288949999999997,1.388358,1.329714,1.373922,1.39131,1.3332600000000001,1.376514,
Actual,Storage PD Snapshot,Cloud SQL,monitor-base-us-prod,3.3622245000000004,3.4020927000000007,3.4598781,3.4757091,3.106858500000001,,,,,,,,,
Actual,DNS Query (port 53),Cloud DNS,monitor-base-us-prod,,,,,,,,1.4212583999999995,5.3539488,,,,,
Actual,Global External Application Load Balancer Outbound Data Processing for Iowa (us-central1),Networking,monitor-base-us-prod,1.1805560999999998,1.2642966000000002,1.2421206,1.0647863999999998,,,,,1.0404711,,,,,
Actual,Download Worldwide Destinations (excluding Asia & Australia),Cloud Storage (GCS),monitor-base-us-prod,,,,1.0163754,,1.0178279999999997,,,,,,,,
Actual,Services CPU (Request-based billing),Cloud Run,monitor-base-us-prod,,,,,,,,,,,,,1.4676768,
Actual,Active Logical Storage,BigQuery,monitor-base-us-prod,1547.1350729999997,1582.5323718,1840.6868571,1837.4573277000004,1824.0742233000005,1557.2415717000001,1520.2935773999998,1529.1204165,1535.4779912999998,1532.8972251000005,1541.9029148999998,1544.7674151000003,1549.3447287000001,
