job_id,analysis_period_label,execution_time_seconds,is_qos_violation,query_preview_1000
job_DMPzgljo2D0HPbwSCyz0EdYV0C9L,Baseline_2025_Sep_Oct,344,True,"SELECT
    v_component_platform.page_retailer_moniker  AS v_component_platform_page_retailer_moniker
FROM `narvar-data-lake.analytics.v_component_platform`
     AS v_component_platform
WHERE ((UPPER(( v_component_platform.page_retailer_moniker  )) LIKE UPPER('%') OR UPPER(( v_component_platform.page_retailer_moniker  )) LIKE UPPER('% %')))
GROUP BY
    1
ORDER BY
    1
LIMIT 1000"
job_Z3V8aR0WCXBpfp-kZ9NqnV7i2WKr,Peak_2024_2025,137,True,"SELECT
    (DATE(v_order_details_flattened.order_date )) AS v_order_details_flattened_order_date,
    COUNT(*) AS v_order_details_flattened_count
FROM narvar-data-lake.internal.v_order_details_flattened  AS v_order_details_flattened
WHERE (v_order_details_flattened.checkout_locale ) LIKE '%US%' AND ((( v_order_details_flattened.order_date  ) >= ((TIMESTAMP_ADD(TIMESTAMP_TRUNC(CURRENT_TIMESTAMP(), DAY, 'UTC'), INTERVAL -1099 DAY))) AND ( v_order_details_flattened.order_date  ) < ((TIMESTAMP_ADD(TIMESTAMP_ADD(TIMESTAMP_TRUNC(CURRENT_TIMESTAMP(), DAY, 'UTC'), INTERVAL -1099 DAY), INTERVAL 1100 DAY)))))
GROUP BY
    1
ORDER BY
    1 DESC
LIMIT 500"
job__1V4dI1TZiiET-eiyylyS8m9bcfD,Baseline_2025_Sep_Oct,135,True,SELECT max(DATE(ingestion_timestamp)) FROM analytics.v_claims_latest 
job_GTKjEBKLkquiTv1ilGQ9USHWBylG,Baseline_2025_Sep_Oct,132,True,"SELECT
    COUNT(DISTINCT v_track_click_visit_rollup.tracking_number ) AS v_track_click_visit_rollup_unique_tracking_number,
    COALESCE(SUM(CASE WHEN (v_track_click_visit_rollup.click_sub_type  IN ('assist_pill_open', 'help_pill')) THEN CAST(v_track_click_visit_rollup.count AS NUMERIC) ELSE NULL END), 0) AS click_count
FROM
    analytics.v_track_click_visit_rollup AS v_track_click_visit_rollup
WHERE ((( date ) >= ((DATE_ADD(DATE_TRUNC(CURRENT_DATE('UTC'), MONTH), INTERVAL -3 MONTH))) AND ( date ) < ((DATE_ADD(DATE_ADD(DATE_TRUNC(CURRENT_DATE('UTC'), MONTH), INTERVAL -3 MONTH), INTERVAL 3 MONTH)))))
LIMIT 500"
job_Sh-UuWR-CZww4KnD0rqBsXkEcB3Q,Baseline_2025_Sep_Oct,90,True,"SELECT
    AVG(CAST(v_customer_feedback.rating AS NUMERIC)) AS average_of_rating
FROM `narvar-data-lake.analytics.v_customer_feedback`
     AS v_customer_feedback
WHERE ((( v_customer_feedback.date  ) >= ((DATE_ADD(DATE_TRUNC(CURRENT_DATE('UTC'), MONTH), INTERVAL -3 MONTH))) AND ( v_customer_feedback.date  ) < ((DATE_ADD(DATE_ADD(DATE_TRUNC(CURRENT_DATE('UTC'), MONTH), INTERVAL -3 MONTH), INTERVAL 3 MONTH))))) AND (v_customer_feedback.retailer_moniker ) = 'outletasics'
LIMIT 500"
job_RfV2r-GIP8K1OBJULfSZLYZAVg0E,Baseline_2025_Sep_Oct,77,True,"SELECT
    v_retailer_category.category  AS v_retailer_category_category
FROM analytics.v_track_click_visit_rollup  AS v_track_click_visit_rollup
LEFT JOIN `narvar-data-lake.analytics.v_retailer_category`
     AS v_retailer_category ON v_track_click_visit_rollup.retailer_moniker = v_retailer_category.retailer 
WHERE (v_retailer_category.category ) = 'Apparel/Accessories/Footwear'
GROUP BY
    1
ORDER BY
    1
LIMIT 500"
job_1xlhjCUuxGZCsbMPtpTlfdhev55F,Peak_2024_2025,62,True,"WITH sms_optin_rate_pkg_lvl AS (--sms_opt_in_rate_package
--Metabse https://noflake.narvar.com/question/2501
WITH
  sms_tracking_numbers AS
    (
      (
        SELECT event_ts, retailer_moniker, tracking_number,
        FROM `analytics.v_consumer_notification_preferences`
        WHERE
          event_ts BETWEEN TIMESTAMP_SUB(TIMESTAMP('2024-01-01 00:00:00'), INTERVAL 14 DAY) AND TIMESTAMP(DATETIME_ADD(DATETIME(TIMESTAMP('2024-01-01 00:00:00')), INTERVAL 1 YEAR))
          AND 1=1 -- no filter on 'sms_optin_rate_pkg_lvl.locale' 

          AND notification_channel LIKE '%sms%'
          AND notification_preference_level = 'tracking'
          AND user_action = 'SUBSCRIBE'
          AND 1=1 -- no filter on 'sms_optin_rate_pkg_lvl.retailer_moniker' 

      )
      UNION ALL
      (
        SELECT event_ts, retailer_moniker, tracking_number
        FROM `analytics.v_watch_list_hub_sms`
        WHERE event_ts BETWEEN TIMESTAMP_SUB(TIMESTAMP('2024-01-01 00:00:00'), INTERVAL 14 DAY) AND TI"
job_YlWPjrM-dF1u_xYd6srPEn6aHGxQ,Baseline_2025_Sep_Oct,62,True,"SELECT
    v_retailer_category.category  AS v_retailer_category_category
FROM analytics.v_track_click_visit_rollup  AS v_track_click_visit_rollup
LEFT JOIN `narvar-data-lake.analytics.v_retailer_category`
     AS v_retailer_category ON v_track_click_visit_rollup.retailer_moniker = v_retailer_category.retailer 
WHERE (v_retailer_category.category ) = 'Apparel/Accessories/Footwear'
GROUP BY
    1
ORDER BY
    1
LIMIT 500"
job_oQj1nHc1lPtBO5DcDWtFZTfeGP94,Peak_2024_2025,58,True,"SELECT
    (DATE(return_created_date)) AS return_details_return_created_date,
    COUNT(DISTINCT return_details.return_process_info_id) AS count_of_return_process_info_id
FROM
    analytics.v_return_details_looker AS return_details
WHERE ((( return_created_date ) >= ((TIMESTAMP(DATETIME_ADD(DATETIME(TIMESTAMP_TRUNC(TIMESTAMP_TRUNC(TIMESTAMP(FORMAT_TIMESTAMP('%F %H:%M:%E*S', CURRENT_TIMESTAMP(), 'UTC')), DAY), YEAR)), INTERVAL -2 YEAR)))) AND ( return_created_date ) < ((TIMESTAMP(DATETIME_ADD(DATETIME(TIMESTAMP(DATETIME_ADD(DATETIME(TIMESTAMP_TRUNC(TIMESTAMP_TRUNC(TIMESTAMP(FORMAT_TIMESTAMP('%F %H:%M:%E*S', CURRENT_TIMESTAMP(), 'UTC')), DAY), YEAR)), INTERVAL -2 YEAR))), INTERVAL 3 YEAR))))))
GROUP BY
    1
ORDER BY
    1 DESC
LIMIT 500"
job_jdEKaYLW2nVhg6GzYmho9tpGJhR3,Baseline_2025_Sep_Oct,56,True,"WITH sms_optin_rate_pkg_lvl_month AS (--sms_opt_in_rate_package
    --Metabse https://noflake.narvar.com/question/2501
    WITH
      sms_tracking_numbers AS
        (
          (
            SELECT date(event_ts) as date, retailer_moniker, tracking_number,
            FROM `analytics.v_consumer_notification_preferences`
            WHERE
              event_ts BETWEEN TIMESTAMP_SUB(TIMESTAMP(DATETIME_ADD(DATETIME(TIMESTAMP_TRUNC(TIMESTAMP_TRUNC(CURRENT_TIMESTAMP(), DAY, 'UTC'), MONTH)), INTERVAL -3 MONTH)), INTERVAL 14 DAY) AND TIMESTAMP(DATETIME_ADD(DATETIME(TIMESTAMP(DATETIME_ADD(DATETIME(TIMESTAMP_TRUNC(TIMESTAMP_TRUNC(CURRENT_TIMESTAMP(), DAY, 'UTC'), MONTH)), INTERVAL -3 MONTH))), INTERVAL 3 MONTH))
              AND 1=1 -- no filter on 'sms_optin_rate_pkg_lvl_month.locale' 

              AND notification_channel LIKE '%sms%'
              AND notification_preference_level = 'tracking'
              AND user_action = 'SUBSCRIBE'
              AND 1=1 -- no filter on 'sms_optin_r"
job_fJK7DeyX_sjuHUV58ZI64_qcnCVU,Peak_2024_2025,55,True,"WITH sms_optin_rate_order_lvl AS (--sms_opt_in_rate_order
    --Metabase https://noflake.narvar.com/question/2500
    WITH
      sms_order_numbers AS
        (
          (
            SELECT event_ts, retailer_moniker, order_number,
            FROM `analytics.v_consumer_notification_preferences`
            WHERE
              event_ts BETWEEN TIMESTAMP_ADD(TIMESTAMP_TRUNC(CURRENT_TIMESTAMP(), DAY, 'UTC'), INTERVAL -90 DAY) AND TIMESTAMP_ADD(TIMESTAMP_ADD(TIMESTAMP_ADD(TIMESTAMP_TRUNC(CURRENT_TIMESTAMP(), DAY, 'UTC'), INTERVAL -90 DAY), INTERVAL 90 DAY), INTERVAL 14 DAY)
              AND (retailer_moniker NOT LIKE '%test%' OR retailer_moniker IS NULL)
              AND ((LOWER(checkout_locale)) LIKE '%US%' OR (LOWER(checkout_locale)) LIKE '%us%')
              AND notification_channel LIKE '%sms%'
              AND notification_preference_level = 'order'
              AND user_action = 'SUBSCRIBE'
          )
          UNION ALL
          (
            SELECT event_ts, retailer_monik"
job_hhzJk39xY_-RkuK44-AUEdvFBEFa,Peak_2024_2025,54,True,"SELECT
    v_component_platform.page_retailer_moniker  AS v_component_platform_page_retailer_moniker
FROM `narvar-data-lake.analytics.v_component_platform`
     AS v_component_platform
WHERE ((UPPER(( v_component_platform.page_retailer_moniker  )) LIKE UPPER('%') OR UPPER(( v_component_platform.page_retailer_moniker  )) LIKE UPPER('% %')))
GROUP BY
    1
ORDER BY
    1
LIMIT 1000"
job_dajE7Lw04ZVikcoGzrdpVsJO_RD6,Baseline_2025_Sep_Oct,51,True,"SELECT
    v_monitor.carrier  AS v_monitor_carrier,
    v_monitor.carrier_service  AS v_monitor_carrier_service,
    v_monitor.current_shipping_status  AS v_monitor_current_shipping_status,
        (FORMAT_DATETIME('%F %T', v_monitor.delivery_date )) AS v_monitor_delivery_time,
    v_monitor.destination_city  AS v_monitor_destination_city,
    v_monitor.destination_country  AS v_monitor_destination_country,
    v_monitor.destination_key_metro_area  AS v_monitor_destination_key_metro_area,
    v_monitor.destination_state  AS v_monitor_destination_state,
    v_monitor.destination_zipcode  AS v_monitor_destination_zipcode,
        (FORMAT_DATE('%F 00:00:00', v_monitor.estimated_delivery_date_first )) AS v_monitor_estimated_delivery_date_first_time,
        (FORMAT_DATE('%F 00:00:00', v_monitor.estimated_delivery_date_latest )) AS v_monitor_estimated_delivery_date_latest_time,
    v_monitor.exception_type_encountered  AS v_monitor_exception_type_encountered,
    v_monitor.fulfillment_sourc"
job_J9b2xmQ6qN5L6nbo5S3AO7Mg7Osu,Baseline_2025_Sep_Oct,47,True,"SELECT
    (v_customer_feedback.date ) AS v_customer_feedback_date_date,
    AVG(CAST(v_customer_feedback.rating AS NUMERIC)) AS average_of_rating
FROM `narvar-data-lake.analytics.v_customer_feedback`
     AS v_customer_feedback
WHERE ((( v_customer_feedback.date  ) >= (DATE('2025-07-01')) AND ( v_customer_feedback.date  ) < (DATE('2025-09-30')))) AND (v_customer_feedback.locale ) = 'da_DK' AND (v_customer_feedback.retailer_moniker ) = 'asics'
GROUP BY
    1
ORDER BY
    1 DESC
LIMIT 500"
job_KzojdeAcQPN6wwnGDJRkJLSELVjD,Peak_2024_2025,38,True,"SELECT
    COUNT(DISTINCT v_track_click_visit_rollup.tracking_number ) AS v_track_click_visit_rollup_unique_tracking_number,
    COALESCE(SUM(CASE WHEN (v_track_click_visit_rollup.click_sub_type  IN ('assist_pill_open', 'help_pill')) THEN CAST(v_track_click_visit_rollup.count AS NUMERIC) ELSE NULL END), 0) AS click_count
FROM analytics.v_track_click_visit_rollup  AS v_track_click_visit_rollup
LEFT JOIN `narvar-data-lake.analytics.v_retailer_category`
     AS v_retailer_category ON v_track_click_visit_rollup.retailer_moniker = v_retailer_category.retailer 
WHERE ((( v_track_click_visit_rollup.date  ) >= ((DATE_ADD(DATE_TRUNC(CURRENT_DATE('UTC'), MONTH), INTERVAL -3 MONTH))) AND ( v_track_click_visit_rollup.date  ) < ((DATE_ADD(DATE_ADD(DATE_TRUNC(CURRENT_DATE('UTC'), MONTH), INTERVAL -3 MONTH), INTERVAL 3 MONTH))))) AND (v_retailer_category.category ) = 'Apparel/Accessories/Footwear'
LIMIT 500"
job_wC9cVAy8_1X5WnM_6WnAscRStCf6,Peak_2024_2025,37,True,"SELECT
    COALESCE(SUM(CASE WHEN (v_marketing_click_rate_hub.event_type = 'click') THEN CAST(v_marketing_click_rate_hub.click_count AS NUMERIC) ELSE NULL END), 0) AS click_sum,
    COUNT(DISTINCT CASE WHEN (v_marketing_click_rate_hub.event_type = 'page_view') THEN v_marketing_click_rate_hub.tracking_number ELSE NULL END) AS unique_tracking_views
FROM `narvar-data-lake.analytics.v_marketing_click_rate_hub`  AS v_marketing_click_rate_hub
WHERE ((( v_marketing_click_rate_hub.date  ) >= ((DATE_ADD(CURRENT_DATE('UTC'), INTERVAL -7 DAY))) AND ( v_marketing_click_rate_hub.date  ) < ((DATE_ADD(DATE_ADD(CURRENT_DATE('UTC'), INTERVAL -7 DAY), INTERVAL 7 DAY)))))
LIMIT 500"
job_u5_sMRbz6mTsmnTFjWCv66bxm5ta,Baseline_2025_Sep_Oct,35,True,"SELECT
    v_component_platform.event_track_status  AS v_component_platform_event_track_status
FROM `narvar-data-lake.analytics.v_component_platform`
     AS v_component_platform
WHERE ((UPPER(( v_component_platform.event_track_status  )) LIKE UPPER('%') OR UPPER(( v_component_platform.event_track_status  )) LIKE UPPER('% %')))
GROUP BY
    1
ORDER BY
    1
LIMIT 1000"
job_MuppR3phBoS57UTNHay6KqmB14Kf,Baseline_2025_Sep_Oct,31,True,SELECT max(DATE(ingestion_timestamp)) FROM analytics.v_claims_latest 
job_Lw3bPsIqK26knw2B78ngrmSq7f8Z,Peak_2024_2025,2,False,"SELECT
    v_customer_comment.tracking_number  AS v_customer_comment_tracking_number,
    v_customer_comment.order_number  AS v_customer_comment_order_number,
        (v_customer_comment.date ) AS v_customer_comment_date_date,
        (DATE(v_customer_comment.ship_date )) AS v_customer_comment_ship_date,
        (DATE(v_customer_comment.delivery_date )) AS v_customer_comment_delivery_date,
    v_customer_comment.rating  AS v_customer_comment_rating,
    v_customer_comment.long_comment  AS v_customer_comment_long_comment,
    v_customer_comment.carrier_moniker  AS v_customer_comment_carrier_moniker
FROM `narvar-data-lake.analytics.v_customer_comment`
     AS v_customer_comment
WHERE ((( v_customer_comment.date  ) >= ((DATE_ADD(CURRENT_DATE('UTC'), INTERVAL -6 DAY))) AND ( v_customer_comment.date  ) < ((DATE_ADD(DATE_ADD(CURRENT_DATE('UTC'), INTERVAL -6 DAY), INTERVAL 7 DAY))))) AND (v_customer_comment.retailer_moniker ) = 'westmarinepro' AND (v_customer_comment.tracking_number ) <> 'nul"
job_3z_U4xI-929Y2dPSPexfZUtS6yLO,Baseline_2025_Sep_Oct,2,False,SELECT max(DATE(ingestion_timestamp)) FROM analytics.v_claims_latest 
job_hfTR8LhEPitnQMINkPs9Xb7pSJk1,Peak_2024_2025,1,False,"WITH comments_and_ratings AS (SELECT DISTINCT
          A.event_tracking_number,
          A.page_retailer_moniker,
          A.event_ts,
          A.order_number,
          A.page_url_locale,
          A.event_carrier_moniker,
          A.click_survey_comment as comment,
          B.click_survey_rating
      FROM `analytics.v_component_platform` A
      LEFT JOIN
      (
              SELECT
                  guid, click_survey_rating
              FROM `analytics.v_component_platform`
              WHERE (
                  event_component = 'nth-block-star-rating'
                  AND click_sub_type = 'rating'
                  AND ((( CAST(event_ts AS TIMESTAMP) ) >= ((TIMESTAMP_ADD(TIMESTAMP_TRUNC(CURRENT_TIMESTAMP(), DAY, 'UTC'), INTERVAL -1 DAY))) AND ( CAST(event_ts AS TIMESTAMP) ) < ((TIMESTAMP_ADD(TIMESTAMP_ADD(TIMESTAMP_TRUNC(CURRENT_TIMESTAMP(), DAY, 'UTC'), INTERVAL -1 DAY), INTERVAL 1 DAY)))))
                  AND ((LOWER(page_retailer_moniker)) = 'stance')
            "
job_v4a8V-f44WWaiSjqNWPJ8ne1f6HQ,Peak_2024_2025,0,False,"SELECT boundary AS boundary FROM (SELECT FORMAT_TIMESTAMP('%F %T', (TIMESTAMP_ADD(TIMESTAMP_TRUNC(TIMESTAMP(FORMAT_TIMESTAMP('%F %H:%M:%E*S', CURRENT_TIMESTAMP(), 'UTC')), DAY), INTERVAL -1 DAY))) AS boundary ) boundaries"
job_xK9wyv40bMVv70k1Spykxx4TbENy,Baseline_2025_Sep_Oct,0,False,"SELECT boundary AS boundary FROM (SELECT FORMAT_DATE('%F 00:00:00', (DATE_ADD(DATE_ADD(CURRENT_DATE('UTC'), INTERVAL -1 DAY), INTERVAL 1 DAY))) AS boundary ) boundaries"
job_vsWzc33yIH7exq9gboL7uyzpWWjG,Baseline_2025_Sep_Oct,0,False,"SELECT boundary AS boundary FROM (SELECT FORMAT_DATE('%F 00:00:00', (DATE_ADD(DATE_ADD(DATE_TRUNC(CURRENT_DATE('UTC'), MONTH), INTERVAL -3 MONTH), INTERVAL 3 MONTH))) AS boundary ) boundaries"
