retailer_moniker,production_cost_usd,production_volume_share,consumption_cost_usd,consumption_slot_hours,query_count,consumption_to_production_ratio,net_cost_imbalance
belkxstorepos,38898.08,0.14785421382372538,0.0,0.0,0,0.0,38898.08
fashionnova,28054.98,0.10663885241323821,1346.6448000000005,27256.419999999987,11822,0.048,26708.34
ae,15037.47,0.05715843084562746,0.5696,11.620000000000001,214,0.0,15036.9
qvc,13949.47,0.05302288093550355,0.1254,2.5199999999999996,32,0.0,13949.34
oldnavyca,9493.68,0.036086111853729515,0.0,0.0,0,0.0,9493.68
jcrew,6231.96,0.023688105844133407,0.067,1.3600000000000003,24,0.0,6231.89
lululemon,5336.21,0.020283311406365537,52.48680000000001,1061.4599999999996,3518,0.0098,5283.72
sephora,5143.99,0.019552643465359128,18.73539999999999,378.19999999999993,2336,0.0036,5125.25
onrunning,5076.38,0.019295673305693414,27.28899999999999,550.5199999999998,9922,0.0054,5049.09
uniqlo,4873.09,0.018522946551191518,0.05759999999999999,1.12,100,0.0,4873.03
vuoriclothing,4792.23,0.0182155802169784,0.1478,2.96,130,0.0,4792.08
loft,4567.04,0.017359611148981793,0.0,0.0,0,0.0,4567.04
saksfifthavenue,4144.12,0.01575209791309288,0.01,0.22000000000000003,6,0.0,4144.11
gapca,4128.87,0.015694130276802793,0.049199999999999994,0.9200000000000003,62,0.0,4128.82
crocs,3780.23,0.014368905643459036,0.902,18.140000000000004,368,2.0E-4,3779.33
anntaylor,3638.73,0.013831069265679594,0.0,0.0,0,0.0,3638.73
levi,3420.71,0.013002366213091613,7.191799999999998,144.02000000000007,3856,0.0021,3413.52
jcpenney,3038.19,0.011548382964447414,10.403399999999992,210.58000000000013,398,0.0034,3027.79
jcrewfactory,2712.93,0.010312046416649267,0.0,0.0,0,0.0,2712.93
lululemon-intl,2690.84,0.010228060086682733,0.027000000000000003,0.5,76,0.0,2690.81
madewell,2426.18,0.00922206228542647,0.10439999999999999,2.08,64,0.0,2426.08
newbalance,2244.68,0.008532162070508558,3.0065999999999993,57.84,3220,0.0013,2241.67
express,2095.95,0.007966862731783835,0.10800000000000001,2.1799999999999997,56,1.0E-4,2095.84
thenorthface,2075.33,0.00788847840819339,15.882000000000007,322.1000000000002,2526,0.0077,2059.45
torrid2,2047.06,0.0077810117936895715,0.002,0.04,12,0.0,2047.06
patagonia,1932.07,0.007343923999330123,0.1992,4.000000000000001,72,1.0E-4,1931.87
hannaandersson,1826.74,0.00694355560613895,0.0,0.0,0,0.0,1826.74
talbotshww,1766.66,0.006715208197801068,0.0,0.0,0,0.0,1766.66
belk,1674.86,0.006366264472515408,0.0018,0.04,4,0.0,1674.86
eddiebauer,1613.49,0.006132971542923634,0.0,0.0,0,0.0,1613.49
crewclothing,1582.04,0.006013425602171373,12.303400000000002,248.96000000000004,2024,0.0078,1569.74
carters,1581.45,0.006011215435593306,0.0,0.0,0,0.0,1581.45
sweatybetty,1581.21,0.006010296356422229,0.0,0.0,0,0.0,1581.21
asics,1558.37,0.005923487140430243,1.4873999999999998,30.339999999999975,332,0.001,1556.88
rei-co-op,1553.55,0.005905149322683511,0.0,0.0,0,0.0,1553.55
landsend,1462.65,0.00555961932003328,0.0,0.0,0,0.0,1462.65
seasaltcornwall,1411.77,0.005366240685871147,0.089,1.7800000000000002,124,1.0E-4,1411.68
altardstate,1404.77,0.00533963115558472,1.2985999999999995,26.000000000000007,846,9.0E-4,1403.47
uniformadvantage,1354.17,0.005147302897618103,0.0,0.0,0,0.0,1354.17
off5th,1351.43,0.005136886667012562,0.0,0.0,0,0.0,1351.43
columbia1,1327.67,0.005046576197035519,0.4868000000000002,9.82,282,4.0E-4,1327.18
dsw,1268.11,0.004820176361226824,1.1151999999999997,22.619999999999997,476,9.0E-4,1266.99
huckberry,1256.35,0.004775469724405138,142.76699999999997,2889.58,15776,0.1136,1113.58
duluthtrading,1221.47,0.004642881612558543,0.40480000000000005,7.980000000000001,342,3.0E-4,1221.07
neimanmarcus,1216.31,0.0046232745902422285,0.07920000000000003,1.620000000000001,148,1.0E-4,1216.23
bananarepublicca,1207.31,0.004589049832538304,0.0,0.0,0,0.0,1207.31
backcountry,1204.47,0.004578283476534256,0.0,0.0,0,0.0,1204.47
clarks,1163.74,0.0044234624018825545,0.6322000000000001,12.540000000000001,826,5.0E-4,1163.11
michaelkors,1142.97,0.004344487241682131,0.011,0.22,4,0.0,1142.96
carhartt,1141.28,0.004338097453159403,0.26299999999999996,5.38,92,2.0E-4,1141.02
thenorthfacenora,1071.16,0.0040715644935470025,9.777200000000002,198.20000000000002,1870,0.0091,1061.38
lanebryant,959.48,0.0036470593306963494,0.0,0.0,0,0.0,959.48
hush,945.23,0.003592899308115012,0.7718000000000005,14.900000000000006,1168,8.0E-4,944.46
maurices,894.84,0.003401358832295033,0.9294000000000002,18.79999999999999,210,0.001,893.91
titlenine,893.0,0.003394334441487514,0.3343999999999999,6.74,78,4.0E-4,892.67
ariat,869.72,0.0033058621298526257,0.025599999999999998,0.54,66,0.0,869.69
coachoutlet,832.86,0.0031657463219381594,0.1444,2.94,76,2.0E-4,832.72
puma,825.36,0.0031372548676347647,1.5694000000000001,31.679999999999993,1130,0.0019,823.79
tory-burch,787.11,0.0029918434130679007,0.8418,16.940000000000005,454,0.0011,786.27
carhartt-wip,773.8,0.0029412502929838393,0.17020000000000002,3.2600000000000007,286,2.0E-4,773.63
merrell,760.72,0.0028915543692334482,4.529000000000003,91.61999999999996,326,0.006,756.19
vansnora,752.33,0.0028596710751320306,1.0970000000000004,22.239999999999995,302,0.0015,751.23
luckybrand,717.79,0.002728352167855018,0.0,0.0,0,0.0,717.79
vans,714.09,0.00271430338623998,0.8028000000000002,16.14,186,0.0011,713.29
eileenfisher,710.16,0.002699379291128678,0.0,0.0,0,0.0,710.16
converse,676.67,0.0025720649430970733,0.0,0.0,0,0.0,676.67
brooksbrothers,629.79,0.002393872998095121,0.0,0.0,0,0.0,629.79
tjmaxx,620.23,0.002357547488000163,0.1638,3.3600000000000003,92,3.0E-4,620.07
reitmans,598.2,0.0022737799864076943,1.9111999999999998,39.08,1374,0.0032,596.29
summitracing,595.43,0.002263254341615119,1.2778000000000007,24.800000000000015,2660,0.0021,594.15
calvinklein2,591.94,0.002249993342146719,0.0,0.0,0,0.0,591.94
dickies,572.3,0.0021753509837528027,0.0,0.0,0,0.0,572.3
columbia,554.37,0.0021071859452312406,0.7211999999999998,14.719999999999999,100,0.0013,553.65
prana,547.28,0.0020802481723837148,0.0,0.0,0,0.0,547.28
menswearhouse,544.67,0.002070313364201118,0.0012,0.02,2,0.0,544.67
colehaan,534.22,0.002030596014308137,0.0,0.0,0,0.0,534.22
timberland,522.26,0.001985145361014627,0.9359999999999999,18.599999999999994,396,0.0018,521.32
josbank,518.0,0.001968952061333742,0.01,0.18,16,0.0,517.99
ouraring,516.08,0.0019616431936399373,1.593,32.300000000000004,400,0.0031,514.49
petermillar,512.42,0.001947725709049339,2.0818,41.57999999999999,614,0.0041,510.34
tommy2,481.78,0.0018312871312088147,0.0,0.0,0,0.0,481.78
clarksoutlet,469.3,0.0017838451397113038,0.040999999999999995,0.8200000000000001,20,1.0E-4,469.26
aeropostale,465.4,0.0017690085759496281,0.0,0.0,0,0.0,465.4
finishline,453.24,0.0017227920233468868,0.0262,0.5800000000000001,60,1.0E-4,453.21
bergdorfgoodman,432.89,0.001645436193114552,0.0,0.0,0,0.0,432.89
tommybahama,412.5,0.0015679490658577777,0.0,0.0,0,0.0,412.5
athletaca,412.25,0.0015669862210118874,0.0,0.0,0,0.0,412.25
jockey,408.91,0.0015542941753160587,0.0,0.0,0,0.0,408.91
partstown,394.97,0.0015013158259546777,0.0,0.0,0,0.0,394.97
rapha,364.79,0.001386605992269275,32.30380000000002,646.6800000000007,12870,0.0886,332.49
altrarunning,364.6,0.001385883858634857,0.0,0.0,0,0.0,364.6
cabelas,360.64,0.001370806583661709,0.12880000000000003,2.5799999999999987,108,4.0E-4,360.51
saucony,354.93,0.0013491206917917674,1.5227999999999995,30.700000000000003,84,0.0043,353.41
rw-co,346.61,0.0013174781089018222,0.043199999999999995,0.68,98,1.0E-4,346.57
rag-bone-returns,326.97,0.0012428357505079061,0.6557999999999998,13.059999999999999,296,0.002,326.31
coach,325.5,0.0012372337441318162,0.008,0.18,22,0.0,325.49
timberlandna,322.55,0.001226051614217043,0.1366,2.7600000000000002,74,4.0E-4,322.41
basspro,321.36,0.0012215218668738767,0.06820000000000002,1.3400000000000003,122,2.0E-4,321.29
marshalls,311.94,0.0011856996620392708,0.0,0.0,0,0.0,311.94
goreweareu,309.23,0.0011753928456207617,2.0E-4,0.0,40,0.0,309.23
